Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),256,1,(x191),5593124,"+168,320",40298836,"-81,909",2329163027
2,+1,Alex Warren - Ordinary,81,2,(x12),5298898,"+719,467",36235256,"+465,139",289883222
3,-1,Billie Eilish - BIRDS OF A FEATHER,347,1,(x25),4895155,"+235,491",34810414,"+149,090",2422762691
4,=,ROSÉ - APT. (w/ Bruno Mars),193,1,(x28),3964365,"-140,774",29474423,"-266,906",1510200288
5,+1,Gracie Abrams - That’s So True,193,3,(x7),3646385,"+81,524",26300200,"+99,788",959658789
6,+1,JENNIE - like JENNIE,53,5,,3623620,"+117,786",26045244,"-68,914",199444865
7,+2,Kendrick Lamar - luther,158,2,(x20),3581945,"+270,751",26158273,"-175,620",823114983
8,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",62,5,,3452619,"+81,954",25269683,"+74,222",184077545
9,-4,Gigi Perez - Sailor Song,254,5,,3203565,"-450,390",25202063,"-219,996",909214460
10,=,Billie Eilish - WILDFLOWER,347,8,,3067052,"+35,481",22114191,"+60,799",1098652129
11,+8,sombr - back to friends,42,11,,3049984,"+404,338",19719463,"+457,851",91162764
12,=,Bad Bunny - DtMF,114,1,(x16),3049467,"+117,612",22387480,"-137,079",687413186
13,-2,Benson Boone - Beautiful Things,466,1,(x35),3028962,"+38,294",22829219,"-134,155",2052335008
14,+2,Lola Young - Messy,147,8,,2992205,"+208,820",21846771,"-69,087",527279318
15,-2,Sabrina Carpenter - Espresso,382,1,(x32),2970473,"+91,677",21222005,"+23,688",2151786960
16,+1,Alemán - Te Quería Ver (w/ Neton Vega),83,13,,2966214,"+184,754",20911261,"+110,753",229907840
17,-3,Jimin - Who,284,1,(x20),2913147,"+34,820",20299431,"+37,368",1516284901
18,=,Doechii - Anxiety,55,2,(x6),2829262,"+164,698",20747027,"-93,243",229204018
19,+2,Lady Gaga - Abracadabra,85,2,(x1),2800422,"+250,920",20086245,"-38,757",311072461
