Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),254,1,(x189),5752431,"-148,250",40335568,"-131,403",2318145099
2,=,Alex Warren - Ordinary,79,2,(x11),5015824,"-419,313",35494897,"+277,029",280004893
3,=,Billie Eilish - BIRDS OF A FEATHER,345,1,(x25),4978552,"-210,666",34606386,"+75,892",2413207872
4,=,ROSÉ - APT. (w/ Bruno Mars),191,1,(x28),4536219,"+217,094",29915701,"-181,587",1502130784
5,+3,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",60,5,,3808405,"-102,565",24900749,"+302,622",177254261
6,=,Gracie Abrams - That’s So True,191,3,(x7),3731723,"-236,680",26020794,+289,952447543
7,+2,JENNIE - like JENNIE,51,5,,3707110,"-158,202",26035954,"+55,425",192315411
8,-1,Kendrick Lamar - luther,156,2,(x20),3693408,"-237,889",26447954,"-57,635",816221844
9,+1,Gigi Perez - Sailor Song,252,6,,3568317,"-247,671",25005282,"+293,370",902356940
10,+1,Benson Boone - Beautiful Things,464,1,(x35),3339526,"-68,442",22815490,"+118,170",2046315378
11,+1,Bad Bunny - DtMF,112,1,(x16),3292650,"-61,375",22591780,"-15,950",681431864
12,+1,Lola Young - Messy,145,8,,3208045,"-95,542",21992193,"-59,724",521503728
13,+4,Sabrina Carpenter - Espresso,380,1,(x32),3112775,"+6,281",21209919,"-86,343",2145937691
14,+1,Alemán - Te Quería Ver (w/ Neton Vega),81,13,,3108720,"-39,787",20659579,"+306,947",224160166
15,+1,Doechii - Anxiety,53,2,(x6),3057646,"-82,046",20932299,"-67,780",223710192
16,-2,Billie Eilish - WILDFLOWER,345,8,,3056939,"-231,681",21884461,"+126,902",1092553506
17,+1,Lady Gaga - Abracadabra,83,2,(x1),2885554,"-135,846",20205993,"-78,132",305722537
18,+3,Jimin - Who,282,1,(x20),2852990,"-21,959",20212976,"+83,905",1510493427
19,-14,Lorde - What Was That,3,5,,2842977,"-1,386,351",10489632,"+2,842,977",10489632
20,=,Bad Bunny - BAILE INoLVIDABLE,112,3,(x1),2835277,"-45,408",19365921,"+36,672",517978219
21,+5,NIKI - You'll Be in My Heart - Spotify Singles,35,16,,2742832,"+2,921",19631497,"+69,650",76089337
22,=,WizTheMc - Show Me Love (w/ bees & honey),53,20,,2706237,"-151,000",18207537,"-2,327",118358793
23,+1,Drake - NOKIA,72,15,,2692391,"-129,500",18686394,"-150,978",194590948
24,+4,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",51,24,,2617897,"-7,494",16873459,"+414,684",98393995
25,-2,The Weeknd - Timeless (w/ Playboi Carti),212,2,(x1),2610719,"-238,716",19159911,"-97,058",789443387
26,-7,sombr - back to friends,40,18,,2610023,"-277,550",18872124,"+329,281",85467134
27,+6,Neton Vega - Morena (w/ Peso Pluma),71,24,,2571396,"+54,900",17036461,"+235,731",147678515
28,-1,"Chappell Roan - Good Luck, Babe!",383,5,,2529826,"-111,007",17488251,"+79,845",1454308147
29,=,Teddy Swims - Lose Control,528,5,,2523331,"-76,703",17160809,"+104,897",1646733467
30,+1,Kendrick Lamar - All The Stars (w/ SZA),688,2,(x14),2478699,"-91,077",17396760,"+37,534",1222593124
31,-1,Kendrick Lamar - Not Like Us,356,1,(x10),2455327,"-119,403",17164604,"-84,514",1418921234
32,+2,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",567,2,(x2),2443642,"-2,109",17477526,"+19,117",1695610729
33,-1,Bad Bunny - EoO,112,9,,2398791,"-118,698",16493788,"+117,298",335638657
34,-9,Tate McRae - Sports car,93,14,,2383870,"-364,451",18488612,"-262,554",267697027
