Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),264,1,(x199),5736215,"-8,625",39709646,"+16,578",2374592310
2,=,Alex Warren - Ordinary,89,2,(x20),5481877,"+56,511",37297252,"+123,524",332538827
3,=,Billie Eilish - BIRDS OF A FEATHER,355,1,(x25),4914873,"+79,544",33622345,"+242,595",2461057314
4,=,ROSÉ - APT. (w/ Bruno Mars),201,1,(x28),3859568,"-9,479",28530632,"-229,974",1542820462
5,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",70,5,,3639400,"+15,643",26652232,"-404,298",214773475
6,=,Gracie Abrams - That’s So True,201,3,(x7),3562656,"+61,921",24811338,"+46,135",987986648
7,+2,sombr - back to friends,50,7,,3430777,"+85,265",21751014,"+247,963",116096592
8,=,JENNIE - like JENNIE,61,5,,3427964,"-7,790",24501817,"-128,618",227503264
9,-2,Lady Gaga - Abracadabra,93,2,(x1),3387051,"-66,882",21313104,"+514,981",335257635
10,+3,Bad Bunny - DtMF,122,1,(x16),3370044,"+274,352",21737876,"+230,791",712290315
11,-1,Kendrick Lamar - luther,166,2,(x20),3286740,"+12,762",23584863,"-339,341",850325927
12,-1,Billie Eilish - WILDFLOWER,355,8,,3215731,"+27,786",21098137,"+162,017",1122803980
13,-1,sombr - undressed,41,12,,3135693,"+34,631",19601189,"+739,152",79875107
14,=,Gigi Perez - Sailor Song,262,5,,3078305,"+53,868",21089405,"-157,655",933539825
15,+5,Bad Bunny - BAILE INoLVIDABLE,122,3,(x1),3041858,"+317,890",18977897,"+370,085",544605150
16,-1,Benson Boone - Beautiful Things,474,1,(x35),3026888,"+12,946",21437261,"-161,962",2076961119
17,=,Sabrina Carpenter - Espresso,390,1,(x32),2903188,"+47,471",20593055,"+63,216",2175219987
18,-2,Jimin - Who,292,1,(x20),2901323,"-32,962",20070043,"-1,295",1539257562
19,-1,Lola Young - Messy,155,8,,2854155,"+25,352",20740126,"-251,427",551125026
20,-1,Ravyn Lenae - Love Me Not,49,19,,2783878,"+15,628",17796769,"+403,328",86701956
21,+2,Doechii - Anxiety,63,2,(x6),2561270,"+35,686",18777362,"-316,094",250858744
22,=,WizTheMc - Show Me Love (w/ bees & honey),63,17,,2547756,"-12,237",18702874,"-175,497",144843383
23,+2,The Weeknd - Timeless (w/ Playboi Carti),222,2,(x1),2517630,"+23,972",17822566,"-271,594",815169662
24,+2,Lady Gaga - Poker Face,103,24,,2497363,"+29,312",14288269,"+930,789",145438453
25,+9,Bad Bunny - EoO,122,9,,2483778,"+236,337",15866296,"+157,656",358074223
26,+1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",577,2,(x2),2465273,"+6,232",17012079,"+196,649",1719597139
27,+1,Kendrick Lamar - All The Stars (w/ SZA),698,2,(x14),2439154,"+5,732",17065193,"+51,840",1246780604
28,+2,"Chappell Roan - Good Luck, Babe!",393,5,,2430842,"+28,258",16993762,"+78,629",1478422669
29,+2,Drake - NOKIA,82,15,,2396756,"+14,417",17406089,"-349,893",219945336
30,-9,Alemán - Te Quería Ver (w/ Neton Vega),91,13,,2395502,"-195,766",19230415,"-569,047",252102804
31,+2,Teddy Swims - Lose Control,538,5,,2389198,"+29,931",16896516,"-182,215",1670904160
32,-8,Neton Vega - Morena (w/ Peso Pluma),81,23,,2386978,"-119,500",17339026,"-262,823",172309034
33,-1,Lord Huron - The Night We Met,1009,15,,2377144,"+17,262",15521540,"+8,520",1789145928
34,+12,Fuerza Regida - Por Esos Ojos,84,26,,2372375,"+283,079",15761515,"+199,601",166700323
35,-6,NIKI - You'll Be in My Heart - Spotify Singles,45,15,,2364520,"-40,899",17425540,"-430,932",101903446
36,+4,Fourtwnty - Mangu (w/ Charita Utami),17,32,,2316487,"+162,989",14563577,"+440,020",29495869
37,+4,The Goo Goo Dolls - Iris,600,27,,2236107,"+88,553",15376626,"-345,060",984685546
38,-2,Lady Gaga - Judas,23,36,,2233270,"+36,592",12316335,"+848,355",33597491
39,-2,Kendrick Lamar - Not Like Us,366,1,(x10),2218061,"+36,501",16038755,"-151,620",1441909570
40,-2,The Marías - No One Noticed,179,32,,2215616,"+34,733",15245711,"-151,301",322240543
41,-6,Arctic Monkeys - I Wanna Be Yours,1035,11,,2194738,"-5,816",14996597,"-119,748",2482401357
42,+2,Tate McRae - Sports car,103,14,,2189888,"+60,973",14987831,"-179,171",289455252
43,-4,Charli xcx - party 4 u,16,39,,2172457,"+17,587",14864650,"+46,719",31218682
44,+14,Bad Bunny - NUEVAYoL,122,5,,2164766,"+256,574",13093898,"+202,169",439670766
45,+18,KATSEYE - Gnarly,5,45,,2137782,"+300,936",8745495,"+2,137,782",8745495
46,+3,KAROL G - Si Antes Te Hubiera Conocido,320,4,,2129560,"+66,273",15040336,"+27,935",1167808449
47,-2,Clave Especial - TU TU TU (w/ Edgardo Nuñez),25,42,,2129398,"+12,532",14611706,"+124,295",40181569
48,-1,Chappell Roan - Pink Pony Club,263,18,,2122157,"+47,972",15422761,"-95,764",517657184
49,-7,The Neighbourhood - Sweater Weather,1801,14,,2120596,"-13,094",14451007,"-58,642",3128737132
50,-2,Hozier - Too Sweet,411,2,(x10),2087599,"+16,622",14153651,"+255,422",1450625589
51,=,The Police - Every Breath You Take,1300,34,,2047700,"+50,121",14117871,"+184,246",1582968632
52,+8,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",122,8,,2038744,"+147,441",12851937,"+179,175",347887098
53,=,Sabrina Carpenter - Taste,257,2,(x3),2033479,"+46,388",14083929,"+51,529",1002889182
54,+10,Bad Bunny - VOY A LLeVARTE PA PR,122,7,,2031638,"+236,769",12305765,"+263,813",383658437
55,-1,Lady Gaga - Bad Romance,25,54,,2023263,"+70,544",11177529,"+805,411",32638847
56,-13,ATLXS - PASSO BEM SOLTO - Slowed,41,35,,1990331,"-140,521",15124182,"-202,617",79183483
57,-7,Fuerza Regida - ME JALO (w/ Grupo Frontera),131,38,,1977244,"-47,645",14514922,"-230,104",256391658
58,-3,Alleh - capaz (merengueton) (w/ Yorghaki),136,34,,1953253,"+6,951",14585174,"-132,967",293972117
59,-7,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),32,49,,1946690,"-42,009",13656845,"-112,813",51522182
60,-1,Cup of Joe - Multo,32,24,,1934215,"+27,987",13208299,"-156,003",70349624
61,-4,yung kai - blue,157,22,,1924988,"-20,168",13325255,"-131,648",365904901
62,=,Coldplay - Yellow,1590,15,,1912523,"+71,606",13145165,"-129,774",2258651554
63,-7,Clave Especial - COMO CAPO (w/ Fuerza Regida),36,49,,1905836,"-40,423",13728488,"-44,907",59017266
64,-3,"Tyler, The Creator - See You Again (w/ Kali Uchis)",794,13,,1905028,"+17,216",13243609,"-153,084",1565779967
65,=,Arctic Monkeys - 505,1220,40,,1880745,"+120,165",12162651,"+57,424",1719872152
66,+16,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),173,13,,1824194,"+147,126",12007456,"-30,325",437595432
67,+3,Coldplay - Viva La Vida,1012,27,,1811709,"+72,275",12590147,"-161,747",1580217845
68,+50,Benson Boone - Mystical Magical,12,40,,1803114,"+394,437",10219818,"+135,029",18556284
69,-3,FloyyMenor - Gata Only (w/ Cris Mj),450,2,(x1),1802177,"+44,204",13347028,"-124,575",1554188863
70,-3,Ariana Grande - we can't be friends (wait for your love),425,1,(x13),1791014,"+35,683",12094435,"+55,339",1370674416
71,-2,Tate McRae - Revolving door,75,18,,1790466,"+46,997",12288047,"-231,399",160542139
72,+6,Kendrick Lamar - tv off (w/ Lefty Gunplay),165,5,,1752860,"+60,395",12497093,"-140,364",522610349
73,+7,Chrystal - The Days - NOTION Remix (w/ NOTION),121,49,,1748058,"+63,364",12168865,"+49,106",203259511
74,-2,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",61,24,,1746335,"+11,205",13537381,"-700,657",118870267
75,+6,Lorde - What Was That,13,5,,1738904,"+56,046",13715183,"-970,037",32220607
76,+8,Ed Sheeran - Azizam,29,27,,1735786,"+66,650",12060769,"-22,932",54764471
77,+6,Lady Gaga - Just Dance (w/ Colby O'Donis),25,77,,1727039,"+55,908",10431826,"+548,371",33086814
78,+1,Radiohead - Creep,523,78,,1725879,"+37,555",11264497,"+44,051",703035658
79,-4,Benson Boone - Sorry I'm Here For Someone Else,55,58,,1720166,"-6,015",12101475,"-123,499",85408731
80,+5,Shaboozey - A Bar Song (Tipsy),387,5,,1710370,"+42,521",12491251,"-19,573",1230597511
81,-8,Neton Vega - Loco,131,14,,1698489,"-32,172",12471903,"-239,947",333896600
82,-11,Neton Vega - M&M,75,53,,1693651,"-44,405",12144843,"-197,767",129734609
83,-15,Tito Double P - TATTOO,68,21,,1692810,"-53,085",12329683,"-253,606",146080484
84,-8,d4vd - Feel It,98,43,,1691995,"-8,303",12218984,"-193,556",164533268
85,-11,Jung Kook - Seven (w/ Latto),662,1,(x71),1691820,"-38,198",11658963,"+53,749",2105500290
86,-9,Teddy Swims - Bad Dreams,185,41,,1666891,"-31,915",12589072,"-251,885",330096498
87,+1,Sabrina Carpenter - Please Please Please,334,1,(x19),1655013,"+6,508",11646973,"-68,529",1395387136
88,-2,The Weeknd - Starboy (w/ Daft Punk),1776,1,(x40),1648639,"-14,427",11345565,"+113,835",3069900094
89,-2,Beéle - Mi Refe (w/ Ovy On The Drums),125,52,,1622494,"-27,648",11565233,"-274,192",233971511
90,=,"Tyler, The Creator - Like Him (w/ Lola Young)",191,20,,1610309,"+3,940",11198012,"+162,814",413719686
91,-2,Lil Tecca - Dark Thoughts,54,18,,1605148,"-18,350",11509553,"-239,855",119515261
92,+4,Linkin Park - In the End,697,8,,1599498,"+65,652",10729343,"+191,298",915477650
