Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
105,+28,Raim Laode - Lesung Pipi,21,72,,1458487,"+68,922",10102429,"+5,930",30950409
106,+36,Jin - Running Wild,170,6,,1454146,"+83,020",9288334,"+109,311",349000796
107,+25,Lady Gaga - Bad Romance,22,107,,1453894,"+61,366",9072447,"+244,956",27049155
108,-77,Maroon 5 - Priceless (w/ LISA),2,31,,1453602,"-1,027,754",3934958,"+1,453,602",3934958
109,-6,Ed Sheeran - Perfect,2754,3,(x1),1450970,"-80,099",10162415,"+33,641",3088729538
110,-11,Sabrina Carpenter - Busy Woman,79,11,,1450722,"-124,170",10996156,"-108,264",159201773
111,-1,Vance Joy - Riptide,2266,16,,1447877,"-49,463",10185525,"+30,546",2183035667
112,+27,Lady Gaga - Just Dance (w/ Colby O'Donis),22,112,,1446262,"+67,487",9208660,"+142,825",28207169
113,+4,Xavi - En Privado (w/ Manuel Turizo),45,77,,1442192,"-23,586",9764657,"+18,624",63860084
114,+12,The Weeknd - Blinding Lights,1979,1,(x82),1439985,"+10,693",9829539,"+36,266",4731816719
115,+6,Cigarettes After Sex - Apocalypse,997,52,,1432756,"-18,255",10442295,"+13,154",1377856537
116,-21,Ed Sheeran - Shape of You,2499,1,(x98),1428519,"-178,702",10345167,"-105,032",3745145698
117,+11,Oscar Maydon - Amigos? No. (w/ Neton Vega),53,88,,1425207,"-1,666",10285021,"-181,145",74908103
118,-18,Tate McRae - greedy,552,1,(x34),1416878,"-149,995",10655389,"-51,255",1687869532
119,=,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",263,58,,1406738,"-56,720",9725465,"-10,871",370003617
120,+17,Natasha Bedingfield - Unwritten,378,14,,1400016,"+15,693",9453578,"+58,306",697325055
121,+20,Journey - Don't Stop Believin' (2022 Remaster),346,61,,1393947,"+19,143",9318630,"-39,955",515689500
