Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),259,1,(x194),5602357,"-155,839",39751230,"-256,840",2346243217
2,=,Alex Warren - Ordinary,84,2,(x15),5343251,"-33,493",36407638,"+5,995",305961570
3,=,Billie Eilish - BIRDS OF A FEATHER,350,1,(x25),4854528,"-43,556",34147479,"-210,234",2437187581
4,=,ROSÉ - APT. (w/ Bruno Mars),196,1,(x28),4138670,"+4,521",29287209,"-14,469",1522562649
5,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",65,5,,3886562,"-203,763",26563244,"+143,858",196098130
6,+2,JENNIE - like JENNIE,56,5,,3703011,"+140,872",25523608,"-62,447",210266597
7,-1,Gracie Abrams - That’s So True,196,3,(x7),3639658,"-99,847",25807056,"-358,466",970554473
8,-1,Kendrick Lamar - luther,161,2,(x20),3430754,"-229,347",25234780,"-516,247",833831919
9,+2,Bad Bunny - DtMF,117,1,(x16),3051104,"-146,730",22016188,"-258,740",696801377
10,-1,Benson Boone - Beautiful Things,469,1,(x35),3041554,"-215,490",22254572,"-392,355",2061822456
11,+1,Lola Young - Messy,150,8,,3041488,"-138,461",21614241,"-149,345",536606337
12,+4,Sabrina Carpenter - Espresso,385,1,(x32),3029611,"+49,189",20918543,"+31,304",2160636965
13,-3,Gigi Perez - Sailor Song,257,5,,3028304,"-184,368",23718761,"-698,194",918691396
14,-1,sombr - back to friends,45,11,,2984805,"-149,373",20495023,"+70,104",100464561
15,-1,Billie Eilish - WILDFLOWER,350,8,,2963042,"-144,166",21568146,"-307,624",1107776093
16,-1,Alemán - Te Quería Ver (w/ Neton Vega),86,13,,2885005,"-147,271",20886731,"-177,672",238789670
17,+2,WizTheMc - Show Me Love (w/ bees & honey),58,17,,2773699,"-76,580",18969168,"+68,549",131764487
18,+2,Jimin - Who,287,1,(x20),2762515,"-57,995",20005056,"-119,023",1524770544
19,-2,Doechii - Anxiety,58,2,(x6),2748770,"-207,774",20273842,"-266,170",237786696
20,+16,sombr - undressed,36,20,,2738643,"+383,735",16167961,"+419,333",65367469
21,-3,Lady Gaga - Abracadabra,88,2,(x1),2732673,"-179,466",19773760,"-170,534",319589343
22,-1,Bad Bunny - BAILE INoLVIDABLE,117,3,(x1),2640462,"-91,637",18737557,"-167,747",530999814
23,+3,NIKI - You'll Be in My Heart - Spotify Singles,40,15,,2614837,"+9,598",19091388,"-236,450",89697982
24,-2,The Weeknd - Timeless (w/ Playboi Carti),217,2,(x1),2572512,"-147,670",18656557,"-288,203",802639790
25,=,Drake - NOKIA,77,15,,2534403,"-103,271",18634658,"-157,575",207711324
26,-3,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",572,2,(x2),2510968,"-148,027",17033687,"-71,552",1707755023
27,+3,Neton Vega - Morena (w/ Peso Pluma),76,24,,2502625,"+17,447",17367188,"-32,453",159957811
28,+1,"Chappell Roan - Good Luck, Babe!",388,5,,2497621,+407,17286254,"-47,121",1466423742
29,-1,Teddy Swims - Lose Control,533,5,,2424680,"-79,702",17326604,"-144,376",1658936706
30,-6,Kendrick Lamar - All The Stars (w/ SZA),693,2,(x14),2406082,"-236,682",17219608,"-159,699",1234764257
31,=,Ravyn Lenae - Love Me Not,44,31,,2348949,"-131,861",15577740,"+312,407",73734946
32,+1,Kendrick Lamar - Not Like Us,361,1,(x10),2315668,"-138,815",16749789,"-233,160",1430640966
33,+2,The Goo Goo Dolls - Iris,595,27,,2233135,"-134,417",16450315,"-195,302",973909607
34,=,The Marías - No One Noticed,174,32,,2219942,"-155,844",15682345,"-27,027",311590560
35,+4,ATLXS - PASSO BEM SOLTO - Slowed,36,35,,2210805,"-92,958",15460538,"-19,785",68573869
36,+5,Chappell Roan - Pink Pony Club,258,18,,2201375,"-67,192",15893511,"-124,352",506704365
37,=,Bad Bunny - EoO,117,9,,2196557,"-147,369",16026033,"-297,498",346748410
38,-11,Lorde - What Was That,8,5,,2189493,"-329,039",19796122,"-1,227,834",23213449
39,+3,Lord Huron - The Night We Met,1004,15,,2180809,"-64,594",15496251,"-119,004",1778050600
40,+4,KAROL G - Si Antes Te Hubiera Conocido,315,4,,2165687,"-62,166",14855206,-559,1157161653
41,-1,Alleh - capaz (merengueton) (w/ Yorghaki),131,34,,2138845,"-147,810",14897120,"-87,844",283812443
42,+4,Arctic Monkeys - I Wanna Be Yours,1030,11,,2135313,"-77,146",15443981,"-103,628",2471752532
43,+5,Charli xcx - party 4 u,11,43,,2128110,"-56,631",14267576,"+276,392",20666883
44,-6,Tate McRae - Sports car,98,14,,2114864,"-201,835",16334148,"-655,014",278898984
45,=,Fuerza Regida - ME JALO (w/ Grupo Frontera),126,38,,2103247,"-120,910",14515738,"+217,597",246204140
46,+19,Fourtwnty - Mangu (w/ Charita Utami),12,46,,2084060,"+209,456",12393899,"+597,409",18890956
47,=,Fuerza Regida - Por Esos Ojos,79,34,,2076666,"-114,448",14002035,"+203,195",155206588
48,+5,Sabrina Carpenter - Taste,252,2,(x3),2065150,"+33,285",14543076,"-37,436",992902268
49,+6,FloyyMenor - Gata Only (w/ Cris Mj),445,2,(x1),2054773,"+52,416",13579206,"+154,882",1544898965
50,-1,The Neighbourhood - Sweater Weather,1796,14,,2017612,"-132,138",14661077,"-138,090",3118453487
51,=,The Police - Every Breath You Take,1295,34,,2010188,"-90,484",13824622,"+21,084",1572961621
52,+7,Hozier - Too Sweet,406,2,(x10),2007744,"+71,537",13270592,"+119,894",1440415889
53,-21,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",56,24,,1998141,"-463,856",16642317,"-525,049",109793024
54,-11,Clave Especial - TU TU TU (w/ Edgardo Nuñez),20,43,,1984649,"-250,297",12769350,"+518,971",29789458
55,+1,Cup of Joe - Multo,27,24,,1928800,"-72,532",14697847,"-466,636",61071457
