Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),249,1,(x184),5675033,"+295,406",41406392,"-488,939",2288864191
2,+1,Alex Warren - Ordinary,74,2,(x6),4833759,"+529,548",33970690,"-167,977",253647966
3,-1,Billie Eilish - BIRDS OF A FEATHER,340,1,(x25),4746065,"+141,339",34145924,"-286,086",2387952277
4,=,ROSÉ - APT. (w/ Bruno Mars),186,1,(x28),4231271,"-48,240",31197430,"-271,801",1480725865
5,+1,Kendrick Lamar - luther,151,2,(x20),3757565,"+332,310",26741093,"-305,486",796956710
6,-1,JENNIE - like JENNIE,46,5,,3692534,"+264,904",26344624,"-31,440",173399621
7,=,Gracie Abrams - That’s So True,186,3,(x7),3546597,"+161,354",26055819,"-377,427",933358589
8,=,Gigi Perez - Sailor Song,247,6,,3423561,"+186,383",24307586,"-133,181",884012397
9,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",55,5,,3378397,"+302,444",24619089,"-267,679",158807862
10,=,Bad Bunny - DtMF,107,1,(x16),3186546,"+187,470",23125480,"-247,043",665025706
11,+3,Benson Boone - Beautiful Things,459,1,(x35),3163117,"+320,333",22925230,"-73,628",2029505789
12,+1,Lola Young - Messy,140,8,,3061292,"+201,572",22479450,"-225,767",505432547
13,-1,Billie Eilish - WILDFLOWER,340,8,,3006253,"+143,613",21511415,"-170,404",1076537938
14,-3,Sabrina Carpenter - Espresso,375,1,(x32),2946785,"+56,387",21908830,"-333,248",2130564955
15,+2,Doechii - Anxiety,48,2,(x6),2922505,"+165,912",21616068,"-438,999",208456991
16,-1,Jimin - Who,277,1,(x20),2875779,"+46,539",19225609,"-4,777",1495985470
17,+1,Alemán - Te Quería Ver (w/ Neton Vega),76,13,,2855461,"+214,930",20131423,"-224,926",208996579
18,+1,Lady Gaga - Abracadabra,78,2,(x1),2839179,"+208,686",20512422,"-125,523",290986216
19,-3,NIKI - You'll Be in My Heart - Spotify Singles,30,16,,2798903,"+41,756",19000774,"+24,223",62013890
20,+1,The Weeknd - Timeless (w/ Playboi Carti),207,2,(x1),2752061,"+284,706",19535640,"-177,333",775502892
21,-1,Bad Bunny - BAILE INoLVIDABLE,107,3,(x1),2724560,"+144,812",19744266,"-244,666",503916606
22,=,Drake - NOKIA,67,15,,2640266,"+180,614",19664356,"-316,383",181004472
23,+2,Tate McRae - Sports car,88,14,,2638232,"+298,552",19412471,"-326,166",254186327
24,+3,sombr - back to friends,35,24,,2592133,"+335,975",17342717,"+171,056",71443301
25,-2,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",562,2,(x2),2492952,"+145,527",17398036,"-20,360",1682973580
26,=,WizTheMc - Show Me Love (w/ bees & honey),48,20,,2474823,"+160,301",18744151,"-317,481",104940601
27,+1,"Chappell Roan - Good Luck, Babe!",378,5,,2459618,"+214,525",17299232,"-97,324",1441524607
28,-4,Cup of Joe - Multo,17,24,,2459264,"+112,779",16741092,"-174,727",39119632
29,+3,Kendrick Lamar - All The Stars (w/ SZA),683,2,(x14),2454440,"+260,764",17404085,"-81,596",1209844480
30,-1,Kendrick Lamar - Not Like Us,351,1,(x10),2385159,"+161,922",17654882,"-261,947",1406365026
31,-1,Teddy Swims - Lose Control,523,5,,2344684,"+140,174",16984997,"-128,351",1634121852
32,-1,Neton Vega - Morena (w/ Peso Pluma),66,24,,2312567,"+116,967",16735914,"-162,251",135150221
33,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",46,32,,2280452,"+189,996",15700288,"-75,902",85891444
34,+1,Bad Bunny - EoO,107,9,,2262691,"+178,255",15820344,"-35,818",323491996
35,+2,The Marías - No One Noticed,164,32,,2196322,"+175,462",15611264,"+35,254",289068709
36,-2,Chappell Roan - Pink Pony Club,248,18,,2189449,"+103,694",16080822,"-181,298",483892076
37,+4,The Goo Goo Dolls - Iris,585,29,,2189117,"+232,572",15466445,"-127,164",950188957
38,+1,Arctic Monkeys - I Wanna Be Yours,1020,11,,2148674,"+131,424",14870612,"+26,381",2449540698
39,+8,Sabrina Carpenter - Taste,242,2,(x3),2113331,"+243,093",15384817,"-311,243",971972297
