Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),247,1,(x182),5883834,"-89,128",42332875,"-669,272",2277809531
2,+1,Billie Eilish - BIRDS OF A FEATHER,338,1,(x25),4902660,"+54,433",34541903,"-314,091",2378601486
3,-1,Alex Warren - Ordinary,72,2,(x5),4738795,"-152,093",34177901,"-146,918",244509996
4,=,ROSÉ - APT. (w/ Bruno Mars),184,1,(x28),4717806,"+115,417",31705711,"-491,467",1472215083
5,=,Kendrick Lamar - luther,149,2,(x20),3751043,"-75,226",27386856,"-362,675",789773890
6,=,Gracie Abrams - That’s So True,184,3,(x7),3731434,"-28,431",26605638,"-439,377",926426749
7,=,JENNIE - like JENNIE,44,5,,3651685,"-73,472",26172356,"+223,989",166279457
8,+2,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",53,5,,3505783,"+107,599",25242795,"-681,978",152353512
9,+3,Bad Bunny - DtMF,105,1,(x16),3308600,"+32,467",23627807,"-691,218",658840084
10,-2,Gigi Perez - Sailor Song,245,6,,3274947,"-214,042",24604090,"-309,545",877351658
11,=,Lola Young - Messy,138,8,,3267769,"-37,828",22718872,"-171,723",499511535
12,-3,Benson Boone - Beautiful Things,457,1,(x35),3221356,"-204,103",23132080,"-293,582",2023499888
13,=,Sabrina Carpenter - Espresso,373,1,(x32),3199118,"+24,730",22460560,"-360,149",2124727772
14,=,Doechii - Anxiety,46,2,(x6),3125426,"-4,804",22372767,"-532,444",202777893
15,+1,Lady Gaga - Abracadabra,76,2,(x1),2963686,"+3,997",20578699,"+185,379",285516544
16,-1,Billie Eilish - WILDFLOWER,338,8,,2930037,"-153,988",21779125,"-246,289",1070669045
17,=,Drake - NOKIA,65,15,,2843369,"-115,288",20286494,"-273,416",175904554
18,+3,Alemán - Te Quería Ver (w/ Neton Vega),74,13,,2801773,"+3,969",20630646,"-468,583",203500587
19,+4,Bad Bunny - BAILE INoLVIDABLE,105,3,(x1),2798605,"+44,166",20233557,"-516,139",498612298
20,+4,Jimin - Who,275,1,(x20),2769085,"+39,776",19344690,"-141,780",1490280451
21,+1,WizTheMc - Show Me Love (w/ bees & honey),46,20,,2708564,"-82,504",19189952,"-234,158",100151256
22,-3,The Weeknd - Timeless (w/ Playboi Carti),205,2,(x1),2707777,"-120,989",19887036,"-317,811",770283476
23,+3,NIKI - You'll Be in My Heart - Spotify Singles,28,20,,2673182,"+102,201",18901384,"+85,565",56457840
24,-4,Tate McRae - Sports car,86,14,,2646424,"-172,489",20062052,"-240,761",249208415
25,=,Kendrick Lamar - Not Like Us,349,1,(x10),2539841,"-57,195",18118801,"-323,333",1401756630
26,+1,"Chappell Roan - Good Luck, Babe!",376,5,,2449981,"-59,972",17465772,"-44,598",1436819896
27,+2,Kendrick Lamar - All The Stars (w/ SZA),681,2,(x14),2441165,"-40,142",17719931,"-235,010",1205196364
28,+2,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",560,2,(x2),2424525,"+1,019",17337623,"-103,631",1678133203
