Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),248,1,(x183),5379627,"-504,207",41895331,"-437,544",2283189158
2,=,Billie Eilish - BIRDS OF A FEATHER,339,1,(x25),4604726,"-297,934",34432010,"-109,893",2383206212
3,=,Alex Warren - Ordinary,73,2,(x5),4304211,"-434,584",34138667,"-39,234",248814207
4,=,ROSÉ - APT. (w/ Bruno Mars),185,1,(x28),4279511,"-438,295",31469231,"-236,480",1476494594
5,+2,JENNIE - like JENNIE,45,5,,3427630,"-224,055",26376064,"+203,708",169707087
6,-1,Kendrick Lamar - luther,150,2,(x20),3425255,"-325,788",27046579,"-340,277",793199145
7,-1,Gracie Abrams - That’s So True,185,3,(x7),3385243,"-346,191",26433246,"-172,392",929811992
8,+2,Gigi Perez - Sailor Song,246,6,,3237178,"-37,769",24440767,"-163,323",880588836
9,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",54,5,,3075953,"-429,830",24886768,"-356,027",155429465
10,-1,Bad Bunny - DtMF,106,1,(x16),2999076,"-309,524",23372523,"-255,284",661839160
11,+2,Sabrina Carpenter - Espresso,374,1,(x32),2890398,"-308,720",22242078,"-218,482",2127618170
12,+4,Billie Eilish - WILDFLOWER,339,8,,2862640,"-67,397",21681819,"-97,306",1073531685
13,-2,Lola Young - Messy,139,8,,2859720,"-408,049",22705217,"-13,655",502371255
14,-2,Benson Boone - Beautiful Things,458,1,(x35),2842784,"-378,572",22998858,"-133,222",2026342672
15,+5,Jimin - Who,276,1,(x20),2829240,"+60,155",19230386,"-114,304",1493109691
16,+7,NIKI - You'll Be in My Heart - Spotify Singles,29,16,,2757147,"+83,965",18976551,"+75,167",59214987
17,-3,Doechii - Anxiety,47,2,(x6),2756593,"-368,833",22055067,"-317,700",205534486
18,=,Alemán - Te Quería Ver (w/ Neton Vega),75,13,,2640531,"-161,242",20356349,"-274,297",206141118
19,-4,Lady Gaga - Abracadabra,77,2,(x1),2630493,"-333,193",20637945,"+59,246",288147037
20,-1,Bad Bunny - BAILE INoLVIDABLE,106,3,(x1),2579748,"-218,857",19988932,"-244,625",501192046
21,+1,The Weeknd - Timeless (w/ Playboi Carti),206,2,(x1),2467355,"-240,422",19712973,"-174,063",772750831
22,-5,Drake - NOKIA,66,15,,2459652,"-383,717",19980739,"-305,755",178364206
23,+5,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",561,2,(x2),2347425,"-77,100",17418396,"+80,773",1680480628
24,+8,Cup of Joe - Multo,16,24,,2346485,"+64,484",16915819,"-163,622",36660368
25,-1,Tate McRae - Sports car,87,14,,2339680,"-306,744",19738637,"-323,415",251548095
26,-5,WizTheMc - Show Me Love (w/ bees & honey),47,20,,2314522,"-394,042",19061632,"-128,320",102465778
27,+7,sombr - back to friends,34,26,,2256158,"-24,584",17171661,"+47,168",68851168
28,-2,"Chappell Roan - Good Luck, Babe!",377,5,,2245093,"-204,888",17396556,"-69,216",1439064989
29,-4,Kendrick Lamar - Not Like Us,350,1,(x10),2223237,"-316,604",17916829,"-201,972",1403979867
30,-1,Teddy Swims - Lose Control,522,5,,2204510,"-213,924",17113348,"-101,601",1631777168
31,=,Neton Vega - Morena (w/ Peso Pluma),65,24,,2195600,"-140,065",16898165,"-240,687",132837654
32,-5,Kendrick Lamar - All The Stars (w/ SZA),682,2,(x14),2193676,"-247,489",17485681,"-234,250",1207390040
33,+3,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",45,32,,2090456,"-112,757",15776190,"-123,791",83610992
34,-4,Chappell Roan - Pink Pony Club,247,18,,2085755,"-313,224",16262120,"-121,936",481702627
35,-2,Bad Bunny - EoO,106,9,,2084436,"-197,057",15856162,"-87,317",321229305
36,+9,yung kai - blue,141,22,,2071901,"+87,295",14529825,"-130,476",334346014
