Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),257,1,(x192),5719637,"+126,513",40058072,"-240,764",2334882664
2,=,Alex Warren - Ordinary,82,2,(x13),5358353,"+59,455",36309406,"+74,150",295241575
3,=,Billie Eilish - BIRDS OF A FEATHER,348,1,(x25),4672278,"-222,877",34511766,"-298,648",2427434969
4,=,ROSÉ - APT. (w/ Bruno Mars),194,1,(x28),4089542,"+125,177",29338679,"-135,744",1514289830
5,+3,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",63,5,,4043698,"+591,079",25813431,"+543,748",188121243
6,+1,Kendrick Lamar - luther,159,2,(x20),3626081,"+44,136",25910207,"-248,066",826741064
7,-1,JENNIE - like JENNIE,54,5,,3556582,"-67,038",25824162,"-221,082",203001447
8,-3,Gracie Abrams - That’s So True,194,3,(x7),3516521,"-129,864",26134540,"-165,660",963175310
9,=,Gigi Perez - Sailor Song,255,5,,3235960,"+32,395",24761077,"-440,986",912450420
10,+3,Benson Boone - Beautiful Things,467,1,(x35),3188850,"+159,888",22709672,"-119,547",2055523858
11,=,sombr - back to friends,43,11,,3182814,"+132,830",20128201,"+408,738",94345578
12,=,Bad Bunny - DtMF,115,1,(x16),3139253,"+89,786",22282488,"-104,992",690552439
13,+1,Lola Young - Messy,148,8,,3105582,"+113,377",21755003,"-91,768",530384900
14,-4,Billie Eilish - WILDFLOWER,348,8,,3053714,"-13,338",21958141,"-156,050",1101705843
15,+1,Alemán - Te Quería Ver (w/ Neton Vega),84,13,,2964549,"-1,665",20957635,"+46,374",232872389
16,+1,Jimin - Who,285,1,(x20),2902618,"-10,529",20209959,"-89,472",1519187519
17,+1,Doechii - Anxiety,56,2,(x6),2877364,"+48,102",20589826,"-157,201",232081382
18,+1,Lady Gaga - Abracadabra,86,2,(x1),2872070,"+71,648",19974240,"-112,005",313944531
19,-4,Sabrina Carpenter - Espresso,383,1,(x32),2839972,"-130,501",20958563,"-263,442",2154626932
20,=,NIKI - You'll Be in My Heart - Spotify Singles,38,15,,2795452,"+12,169",19598485,"-70,079",84477906
21,+2,The Weeknd - Timeless (w/ Playboi Carti),215,2,(x1),2789224,"+83,428",19024292,"-30,688",797347096
22,=,Drake - NOKIA,75,15,,2746649,"+10,742",18802793,"+14,667",202539247
23,+1,WizTheMc - Show Me Love (w/ bees & honey),56,20,,2723253,"+55,282",18608896,"+132,241",126140509
24,-3,Lorde - What Was That,6,5,,2708941,"-45,927",18505424,"+2,708,941",18505424
25,=,Bad Bunny - BAILE INoLVIDABLE,115,3,(x1),2671773,"+148,239",18955616,"-83,258",525627253
26,+5,Neton Vega - Morena (w/ Peso Pluma),74,24,,2649801,"+287,907",17403928,"+233,942",154970008
27,+1,The Goo Goo Dolls - Iris,593,27,,2581167,"+167,515",16712652,"+173,856",969308920
28,+1,Teddy Swims - Lose Control,531,5,,2571413,"+162,173",17471028,"+156,649",1654007644
