Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),260,1,(x195),5639439,"+37,082",39489988,"-261,242",2351882656
2,=,Alex Warren - Ordinary,85,2,(x16),5561043,"+217,792",36533544,"+125,906",311522613
3,=,Billie Eilish - BIRDS OF A FEATHER,351,1,(x25),4854606,+78,33812867,"-334,612",2442042187
4,=,ROSÉ - APT. (w/ Bruno Mars),197,1,(x28),4196797,"+58,127",29164881,"-122,328",1526759446
5,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",66,5,,4035813,"+149,251",26688087,"+124,843",200133943
6,=,JENNIE - like JENNIE,57,5,,3685125,"-17,886",25343421,"-180,187",213951722
7,=,Gracie Abrams - That’s So True,197,3,(x7),3640795,"+1,137",25479448,"-327,608",974195268
8,=,Kendrick Lamar - luther,162,2,(x20),3470225,"+39,471",24773708,"-461,072",837302144
9,=,Bad Bunny - DtMF,118,1,(x16),3177933,"+126,829",21840096,"-176,092",699979310
10,+1,Lola Young - Messy,151,8,,3155659,"+114,171",21466313,"-147,928",539761996
11,-1,Benson Boone - Beautiful Things,470,1,(x35),3148414,"+106,860",21995018,"-259,554",2064970870
12,=,Sabrina Carpenter - Espresso,386,1,(x32),3087952,"+58,341",20900001,"-18,542",2163724917
13,+1,sombr - back to friends,46,11,,3066863,"+82,058",20674313,"+179,290",103531424
14,-1,Gigi Perez - Sailor Song,258,5,,2958701,"-69,603",22861474,"-857,287",921650097
15,=,Billie Eilish - WILDFLOWER,351,8,,2945398,"-17,644",21224924,"-343,222",1110721491
16,=,Alemán - Te Quería Ver (w/ Neton Vega),87,13,,2924805,"+39,800",20663029,"-223,702",241714475
17,+3,sombr - undressed,37,17,,2915675,"+177,032",16803384,"+635,423",68283144
18,=,Jimin - Who,288,1,(x20),2903650,"+141,135",20033757,"+28,701",1527674194
19,-2,WizTheMc - Show Me Love (w/ bees & honey),59,17,,2888465,"+114,766",19000396,"+31,228",134652952
20,+1,Lady Gaga - Abracadabra,89,2,(x1),2864790,"+132,117",19617150,"-156,610",322454133
