Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),253,1,(x188),5900681,"+41,484",40466971,"-72,281",2312392668
2,=,Alex Warren - Ordinary,78,2,(x10),5435137,"+97,881",35217868,"+544,249",274989069
3,=,Billie Eilish - BIRDS OF A FEATHER,344,1,(x25),5189218,"+124,456",34530494,"+340,991",2408229320
4,=,ROSÉ - APT. (w/ Bruno Mars),190,1,(x28),4319125,"+165,986",30097288,"-283,264",1497594565
5,+6,Lorde - What Was That,2,5,,4229328,"+812,001",7646655,"+4,229,328",7646655
6,-1,Gracie Abrams - That’s So True,190,3,(x7),3968403,"-29,721",26020505,"+208,538",948715820
7,-1,Kendrick Lamar - luther,155,2,(x20),3931297,"-15,704",26505589,"+105,028",812528436
8,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",59,5,,3910970,"+168,266",24598127,"+512,786",173445856
9,-2,JENNIE - like JENNIE,50,5,,3865312,"+99,854",25980529,"+140,155",188608301
10,-1,Gigi Perez - Sailor Song,251,6,,3815988,"+89,490",24711912,"+326,999",898788623
11,-1,Benson Boone - Beautiful Things,463,1,(x35),3407968,"-25,941",22697320,"-17,491",2042975852
12,=,Bad Bunny - DtMF,111,1,(x16),3354025,"+44,181",22607730,"+77,892",678139214
13,+1,Lola Young - Messy,144,8,,3303587,"+112,754",22051917,"-2,010",518295683
14,-1,Billie Eilish - WILDFLOWER,344,8,,3288620,"+17,954",21757559,"+204,595",1089496567
15,=,Alemán - Te Quería Ver (w/ Neton Vega),80,13,,3148507,"+85,830",20352632,"+350,703",221051446
16,=,Doechii - Anxiety,52,2,(x6),3139692,"+124,752",21000079,"+9,462",220652546
17,=,Sabrina Carpenter - Espresso,379,1,(x32),3106494,"+108,187",21296262,"-67,894",2142824916
18,+1,Lady Gaga - Abracadabra,82,2,(x1),3021400,"+118,193",20284125,"+61,711",302836983
19,-1,sombr - back to friends,39,18,,2887573,"-27,128",18542843,"+465,687",82857111
20,+3,Bad Bunny - BAILE INoLVIDABLE,111,3,(x1),2880685,"+72,476",19329249,"+126,246",515142942
21,-1,Jimin - Who,281,1,(x20),2874949,"-6,589",20129071,"+145,640",1507640437
22,+3,WizTheMc - Show Me Love (w/ bees & honey),52,20,,2857237,"+152,087",18209864,"+66,169",115652556
23,-2,The Weeknd - Timeless (w/ Playboi Carti),211,2,(x1),2849435,"-11,280",19256969,"+20,669",786832668
24,+2,Drake - NOKIA,71,15,,2821891,"+129,913",18837372,"-136,766",191898557
25,-1,Tate McRae - Sports car,92,14,,2748321,"-21,557",18751166,"-70,592",265313157
26,-4,NIKI - You'll Be in My Heart - Spotify Singles,34,16,,2739911,"-111,376",19561847,"+168,930",73346505
27,+4,"Chappell Roan - Good Luck, Babe!",382,5,,2640833,"+96,091",17408406,"+130,880",1451778321
28,+5,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",50,28,,2625391,"+102,201",16458775,"+504,210",95776098
29,-1,Teddy Swims - Lose Control,527,5,,2600034,"+30,978",17055912,"+116,819",1644210136
30,=,Kendrick Lamar - Not Like Us,355,1,(x10),2574730,"+25,902",17249118,"-22,306",1416465907
31,-2,Kendrick Lamar - All The Stars (w/ SZA),687,2,(x14),2569776,"+3,995",17359226,"+88,469",1220114425
32,+2,Bad Bunny - EoO,111,9,,2517489,"+23,434",16376490,"+273,848",333239866
33,-1,Neton Vega - Morena (w/ Peso Pluma),70,24,,2516496,"-18,582",16800730,"+191,609",145107119
34,-7,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",566,2,(x2),2445751,"-136,769",17458409,"+22,245",1693167087
35,+2,Chappell Roan - Pink Pony Club,252,18,,2423774,"+98,047",16016735,"+11,551",493234628
36,-1,The Goo Goo Dolls - Iris,589,29,,2414183,"-14,254",15967928,"+170,988",959873475
37,NEW,Sleep Token - Damocles,1,37,,2368653,,2368653,"+2,368,653",2368653
38,+5,Alleh - capaz (merengueton) (w/ Yorghaki),125,34,,2317870,"+91,181",15042316,"+244,387",271233193
39,-3,Cup of Joe - Multo,21,24,,2289799,"-105,637",16631527,"+109,780",48663409
40,NEW,Benson Boone - Mystical Magical,1,40,,2288859,,2288859,"+2,288,859",2288859
41,-3,sombr - undressed,30,38,,2280252,"-39,058",14281311,"+396,863",51479760
42,=,ATLXS - PASSO BEM SOLTO - Slowed,30,40,,2278227,"+47,637",14885513,"+148,014",55391558
43,-3,The Marías - No One Noticed,168,32,,2269426,"+22,457",15428263,"+11,370",298177641
44,-3,Arctic Monkeys - I Wanna Be Yours,1024,11,,2251559,"+12,618",15248030,"+142,040",2458560110
45,+1,Sabrina Carpenter - Taste,246,2,(x3),2210790,"+108,204",14714760,"-15,338",980569982
46,-7,Lord Huron - The Night We Met,998,15,,2210233,"-89,580",15049290,"+118,457",1764764582
47,-2,The Neighbourhood - Sweater Weather,1790,14,,2176446,"+20,744",14588165,"+68,510",3105968856
48,-4,KAROL G - Si Antes Te Hubiera Conocido,309,4,,2161374,"-4,872",14718356,"+90,577",1144467821
49,+10,d4vd - Feel It,87,49,,2134747,"+248,903",13128736,"+285,144",144543722
50,-3,Ravyn Lenae - Love Me Not,38,47,,2106021,"+69,479",13057755,"+375,638",60263227
51,-2,The Police - Every Breath You Take,1289,34,,2062938,"+73,834",13859470,"+159,688",1561199937
52,-4,yung kai - blue,146,22,,2040641,"+18,131",14146965,"+67,256",344436472
53,-3,Kendrick Lamar - tv off (w/ Lefty Gunplay),154,5,,2033514,"+68,361",13482578,"-13,105",502794498
54,-1,Teddy Swims - Bad Dreams,174,41,,2031673,"+112,558",13246588,"+29,614",309996786
55,+5,Fuerza Regida - ME JALO (w/ Grupo Frontera),120,38,,2023374,"+137,724",13332678,"+161,146",233711776
56,+13,Bad Bunny - NUEVAYoL,111,5,,2013851,"+170,921",12895219,"+63,736",419120405
57,-5,"Tyler, The Creator - See You Again (w/ Kali Uchis)",783,13,,1982211,"+48,043",13136946,"+76,528",1544831074
58,+15,Benson Boone - Sorry I'm Here For Someone Else,44,58,,1977815,"+181,521",11826706,"+234,720",66240775
59,-2,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",111,8,,1976108,"+87,827",12802688,"+211,761",328005213
60,+2,Fuerza Regida - Por Esos Ojos,73,34,,1974397,"+100,926",12800426,"+206,188",143178950
61,-5,FloyyMenor - Gata Only (w/ Cris Mj),439,2,(x1),1974364,"+74,473",13287061,"+69,554",1533294123
62,+6,Charli xcx - party 4 u,5,62,,1968321,"+116,603",8367628,"+1,968,321",8367628
63,-5,Hozier - Too Sweet,400,2,(x10),1966976,"+79,126",12896917,"+94,954",1429112273
64,+1,Tate McRae - Revolving door,64,18,,1961734,"+98,193",12416417,"+157,930",140803068
65,-14,Neton Vega - Loco,120,14,,1959033,"+4,632",13016518,"+77,645",314177784
66,-3,Lil Tecca - Dark Thoughts,43,18,,1953692,"+84,171",12514748,"+50,969",101022672
67,=,Beéle - Mi Refe (w/ Ovy On The Drums),114,52,,1950400,"+96,312",12333677,"+320,437",215490395
68,-13,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),162,13,,1948411,"+41,873",12406849,"+213,543",418641428
69,-5,Bad Bunny - VOY A LLeVARTE PA PR,111,7,,1910594,"+43,019",12721262,"+76,491",364669211
