Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),262,1,(x197),5447082,"-334,435",39541352,"+22,278",2363111255
2,=,Alex Warren - Ordinary,87,2,(x18),4794729,"-519,513",37047260,"+215,298",321631584
3,=,Billie Eilish - BIRDS OF A FEATHER,353,1,(x25),4462914,"-339,097",33439576,"-196,750",2451307112
4,=,ROSÉ - APT. (w/ Bruno Mars),199,1,(x28),3933711,"-464,979",28855924,"-171,428",1535091847
5,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",68,5,,3346576,"-683,223",26885392,"-24,089",207510318
6,=,Gracie Abrams - That’s So True,199,3,(x7),3264901,"-198,187",24910853,"-299,960",980923257
7,=,JENNIE - like JENNIE,59,5,,3251553,"-184,718",24818301,"-254,281",220639546
8,=,Kendrick Lamar - luther,164,2,(x20),3091392,"-280,281",24232171,"-219,802",843765209
9,+4,Lady Gaga - Abracadabra,91,2,(x1),2946730,"-69,058",20144612,"+397,228",328416651
10,+6,sombr - back to friends,48,10,,2905592,"+22,305",21207523,"+259,946",109320303
11,+6,Jimin - Who,290,1,(x20),2891585,"+35,410",20050200,"+13,258",1533421954
12,+2,Gigi Perez - Sailor Song,260,5,,2867445,"-52,096",21426188,"-786,510",927437083
13,-3,Benson Boone - Beautiful Things,472,1,(x35),2859647,"-230,125",21614243,"-131,021",2070920289
14,+4,Billie Eilish - WILDFLOWER,353,8,,2839461,+109,20815227,"-192,110",1116400304
15,-3,Sabrina Carpenter - Espresso,388,1,(x32),2706598,"-322,969",20644595,"-172,198",2169461082
16,-7,Bad Bunny - DtMF,120,1,(x16),2705563,"-434,143",21460860,"-226,292",705824579
17,+5,sombr - undressed,39,17,,2652606,"-49,996",18125369,"+629,785",73638352
18,-7,Lola Young - Messy,153,8,,2607941,"-464,190",21154955,"-175,444",545442068
19,-4,Alemán - Te Quería Ver (w/ Neton Vega),89,13,,2506140,"-389,279",20174408,"-275,320",247116034
