Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),255,1,(x190),5424804,"-327,627",40380745,"+45,177",2323569903
2,+1,Billie Eilish - BIRDS OF A FEATHER,346,1,(x25),4659664,"-318,888",34661324,"+54,938",2417867536
3,-1,Alex Warren - Ordinary,80,2,(x11),4579431,"-436,393",35770117,"+275,220",284584324
4,=,ROSÉ - APT. (w/ Bruno Mars),192,1,(x28),4105139,"-431,080",29741329,"-174,372",1506235923
5,+4,Gigi Perez - Sailor Song,253,5,,3653955,"+85,638",25422059,"+416,777",906010895
6,=,Gracie Abrams - That’s So True,192,3,(x7),3564861,"-166,862",26200412,"+179,618",956012404
7,=,JENNIE - like JENNIE,52,5,,3505834,"-201,276",26114158,"+78,204",195821245
8,-3,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",61,5,,3370665,"-437,740",25195461,"+294,712",180624926
9,-1,Kendrick Lamar - luther,157,2,(x20),3311194,"-382,214",26333893,"-114,061",819533038
10,+6,Billie Eilish - WILDFLOWER,346,8,,3031571,"-25,368",22053392,"+168,931",1095585077
11,-1,Benson Boone - Beautiful Things,465,1,(x35),2990668,"-348,858",22963374,"+147,884",2049306046
12,-1,Bad Bunny - DtMF,113,1,(x16),2931855,"-360,795",22524559,"-67,221",684363719
13,=,Sabrina Carpenter - Espresso,381,1,(x32),2878796,"-233,979",21198317,"-11,602",2148816487
14,+4,Jimin - Who,283,1,(x20),2878327,"+25,337",20262063,"+49,087",1513371754
15,+6,NIKI - You'll Be in My Heart - Spotify Singles,36,15,,2809834,"+67,002",19684184,"+52,687",78899171
16,-4,Lola Young - Messy,146,8,,2783385,"-424,660",21915858,"-76,335",524287113
17,-3,Alemán - Te Quería Ver (w/ Neton Vega),82,13,,2781460,"-327,260",20800508,"+140,929",226941626
18,-3,Doechii - Anxiety,54,2,(x6),2664564,"-393,082",20840270,"-92,029",226374756
19,+7,sombr - back to friends,41,18,,2645646,"+35,623",19261612,"+389,488",88112780
20,-1,Lorde - What Was That,4,5,,2551983,"-290,994",13041615,"+2,551,983",13041615
21,-4,Lady Gaga - Abracadabra,84,2,(x1),2549502,"-336,052",20125002,"-80,991",308272039
22,+1,Drake - NOKIA,73,15,,2465743,"-226,648",18692485,"+6,091",197056691
23,-3,Bad Bunny - BAILE INoLVIDABLE,113,3,(x1),2453727,"-381,550",19239900,"-126,021",520431946
24,+1,The Weeknd - Timeless (w/ Playboi Carti),213,2,(x1),2408689,"-202,030",19101245,"-58,666",791852076
25,+7,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",568,2,(x2),2402019,"-41,623",17532120,"+54,594",1698012748
26,-4,WizTheMc - Show Me Love (w/ bees & honey),54,20,,2390492,"-315,745",18283507,"+75,970",120749285
27,+1,"Chappell Roan - Good Luck, Babe!",384,5,,2335337,"-194,489",17578495,"+90,244",1456643484
28,+2,Kendrick Lamar - All The Stars (w/ SZA),689,2,(x14),2320435,"-158,264",17523519,"+126,759",1224913559
29,=,Teddy Swims - Lose Control,529,5,,2293524,"-229,807",17249823,"+89,014",1649026991
30,-3,Neton Vega - Morena (w/ Peso Pluma),72,24,,2279798,"-291,598",17120659,"+84,198",149958313
31,=,Kendrick Lamar - Not Like Us,357,1,(x10),2224578,"-230,749",17165945,"+1,341",1421145812
32,-8,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",52,24,,2208102,"-409,795",16991105,"+117,646",100602097
33,+2,Chappell Roan - Pink Pony Club,254,18,,2159286,"-207,520",16058093,"+73,531",497760720
34,+7,Arctic Monkeys - I Wanna Be Yours,1026,11,,2155191,"+19,273",15459195,"+137,941",2462851219
35,+2,The Goo Goo Dolls - Iris,591,29,,2151586,"-137,454",16314261,"+195,041",964314101
36,+7,Cup of Joe - Multo,23,24,,2105203,"+18,737",16194710,"-241,282",52855078
37,-3,Tate McRae - Sports car,94,14,,2102522,"-281,348",18251454,"-237,158",269799549
38,-5,Bad Bunny - EoO,113,9,,2086050,"-312,741",16495402,"+1,614",337724707
39,-1,ATLXS - PASSO BEM SOLTO - Slowed,32,38,,2084452,"-169,129",15179056,"+150,608",59729591
40,+5,The Marías - No One Noticed,170,32,,2068857,"+4,367",15438601,"+47,997",302310988
41,+13,yung kai - blue,148,22,,2060176,"+102,764",14108046,"-11,725",348454060
42,=,Lord Huron - The Night We Met,1000,15,,2045205,"-56,452",15266098,"+82,042",1768911444
43,+1,d4vd - Feel It,89,43,,2028011,"-48,576",13759174,"+353,516",148648320
44,+6,Ravyn Lenae - Love Me Not,40,44,,2026298,"+40,733",13823493,"+434,048",64275090
45,+3,sombr - undressed,32,38,,2022821,"+12,419",14893186,"+355,305",55512983
46,-6,Sabrina Carpenter - Taste,248,2,(x3),1980140,"-219,022",14890318,"+109,902",984749284
47,=,The Neighbourhood - Sweater Weather,1792,14,,1957810,"-78,656",14608446,"+47,276",3109963132
48,-9,KAROL G - Si Antes Te Hubiera Conocido,311,4,,1950054,"-281,936",14747191,"+11,863",1148649865
49,-13,Alleh - capaz (merengueton) (w/ Yorghaki),127,34,,1900411,"-389,387",15110947,"-45,764",275423402
50,+5,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),23,50,,1879789,"-57,265",12088074,"+438,021",33750893
51,+2,Fuerza Regida - ME JALO (w/ Grupo Frontera),122,38,,1857582,"-105,133",13501994,"+92,087",237532073
52,+20,"Tyler, The Creator - See You Again (w/ Kali Uchis)",785,13,,1834794,"+37,048",13205707,"+131,917",1548463614
53,-2,The Police - Every Breath You Take,1291,34,,1825220,"-142,990",13830117,"-50,670",1564993367
54,+2,Charli xcx - party 4 u,7,54,,1819528,"-107,727",12114411,"+1,819,528",12114411
55,-3,FloyyMenor - Gata Only (w/ Cris Mj),441,2,(x1),1806398,"-159,966",13301522,"+3,906",1537066885
56,+5,Fuerza Regida - Por Esos Ojos,75,34,,1768707,"-108,511",13033288,"+108,884",146824875
57,=,Hozier - Too Sweet,402,2,(x10),1756230,"-154,651",13057421,"+58,331",1432779384
58,+37,Clave Especial - TU TU TU (w/ Edgardo Nuñez),16,58,,1747406,"+243,187",10437280,"+607,879",21909290
59,+12,Coldplay - Yellow,1581,15,,1745586,"-66,293",13160582,"-27,406",2241487824
60,+17,Ariana Grande - we can't be friends (wait for your love),416,1,(x13),1730045,"-10,520",12485046,"+57,924",1355048721
