Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,252,1,187,5859197,"+50,999",40539252,"-445,283",2306491987
2,=,Alex Warren,Ordinary,,77,2,9,5337256,"+52,749",34673619,"+141,847",269553932
3,=,Billie Eilish,BIRDS OF A FEATHER,,343,1,25,5064762,"+12,625",34189503,"-31,887",2403040102
4,=,ROSÉ,APT.,Bruno Mars,189,1,28,4153139,"-18,011",30380552,"-480,501",1493275440
5,+2,Gracie Abrams,That’s So True,,189,3,7,3998124,"+289,601",25811967,"+102,064",944747417
6,-1,Kendrick Lamar,luther,,154,2,20,3947001,"+127,720",26400561,"-88,828",808597139
7,-1,JENNIE,like JENNIE,,49,5,,3765458,"-34,788",25840374,"-258,233",184742989
8,+1,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",58,5,,3742704,"+258,334",24085341,"-83,928",169534886
9,-1,Gigi Perez,Sailor Song,,250,6,,3726498,"+169,704",24384913,"+60,550",894972635
10,=,Benson Boone,Beautiful Things,,462,1,35,3433909,"+114,120",22714811,"-161,441",2039567884
11,NEW,Lorde,What Was That,,1,11,,3417327,,3417327,"+3,417,327",3417327
12,-1,Bad Bunny,DtMF,,110,1,16,3309844,"+104,450",22529838,"-234,869",674785189
13,-1,Billie Eilish,WILDFLOWER,,343,8,,3270666,"+81,087",21552964,"-16,259",1086207947
14,-1,Lola Young,Messy,,143,8,,3190833,"+19,467",22053927,"-268,552",514992096
15,+2,Alemán,Te Quería Ver,Neton Vega,79,13,,3062677,"+137,169",20001929,"+8,804",217902939
16,-1,Doechii,Anxiety,,51,2,6,3014940,"+8,582",20990617,"-250,651",217512854
17,-3,Sabrina Carpenter,Espresso,,378,1,32,2998307,"-53,439",21364156,"-312,523",2139718422
18,+2,sombr,back to friends,,38,18,,2914701,"+77,241",18077156,"+269,539",79969538
19,-3,Lady Gaga,Abracadabra,,81,2,1,2903207,"-38,878",20222414,"-225,120",299815583
20,-2,Jimin,Who,,280,1,20,2881538,"-24,852",19983431,"+64,180",1504765488
21,+1,The Weeknd,Timeless,Playboi Carti,210,2,1,2860715,"+61,001",19236300,"-120,880",783983233
22,-3,NIKI,You'll Be in My Heart - Spotify Singles,,33,16,,2851287,"-24,599",19392917,"+214,560",70606594
23,=,Bad Bunny,BAILE INoLVIDABLE,,110,3,1,2808209,"+25,798",19203003,"-214,433",512262257
24,-3,Tate McRae,Sports car,,91,14,,2769878,"-52,326",18821758,"-316,287",262564836
25,+2,WizTheMc,Show Me Love,bees & honey,51,20,,2705150,"+146,594",18143695,"-240,637",112795319
26,-2,Drake,NOKIA,,70,15,,2691978,"+43,744",18974138,"-306,588",189076666
27,-2,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",565,2,2,2582520,"-5,888",17436164,"+55,098",1690721336
28,+1,Teddy Swims,Lose Control,,526,5,,2569056,"+64,626",16939093,"-57,956",1641610102
29,-3,Kendrick Lamar,All The Stars,SZA,686,2,14,2565781,"+5,819",17270757,"-102,933",1217544649
30,=,Kendrick Lamar,Not Like Us,,354,1,10,2548828,"+56,198",17271424,"-161,565",1413891177
31,-3,Chappell Roan,"Good Luck, Babe!",,381,5,,2544742,"+35,211",17277526,"-82,891",1449137488
32,-1,Neton Vega,Morena,Peso Pluma,69,24,,2535078,"+45,613",16609121,"-5,077",142590623
33,+2,Jombriel,VITAMINA,"DFZM, Jøtta",49,32,,2523190,"+130,797",15954565,"+138,360",93150707
34,-1,Bad Bunny,EoO,,110,9,,2494055,"+82,897",16102642,"+159,368",330722377
35,-3,The Goo Goo Dolls,Iris,,588,29,,2428437,"-6,150",15796940,"+50,372",957459292
36,-2,Cup of Joe,Multo,,20,24,,2395436,"-2,879",16521747,"+30,326",46373610
