Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,251,1,186,5808198,"-152,203",40984535,"-186,317",2300632790
2,=,Alex Warren,Ordinary,,76,2,8,5284507,+304,34531772,"+387,298",264216676
3,=,Billie Eilish,BIRDS OF A FEATHER,,342,1,25,5052137,"+81,211",34221390,"+170,266",2397975340
4,=,ROSÉ,APT.,Bruno Mars,188,1,28,4171150,"-54,136",30861053,"-86,831",1489122301
5,=,Kendrick Lamar,luther,,153,2,20,3819281,"-54,866",26489389,"-76,949",804650138
6,=,JENNIE,like JENNIE,,48,5,,3800246,"+22,582",26098607,"-134,567",180977531
7,=,Gracie Abrams,That’s So True,,188,3,7,3708523,"+26,342",25709903,"-27,594",940749293
8,=,Gigi Perez,Sailor Song,,249,6,,3556794,"-120,152",24324363,"+20,190",891246137
9,=,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",57,5,,3484370,"-15,580",24169269,"-179,679",165792182
10,=,Benson Boone,Beautiful Things,,461,1,35,3319789,"+11,392",22876252,"+32,586",2036133975
11,=,Bad Bunny,DtMF,,109,1,16,3205394,"-38,851",22764707,"-127,678",671475345
12,=,Billie Eilish,WILDFLOWER,,342,8,,3189579,"-20,185",21569223,"+18,400",1082937281
13,=,Lola Young,Messy,,142,8,,3171366,"-25,984",22322479,"-49,587",511801263
14,=,Sabrina Carpenter,Espresso,,377,1,32,3051746,"-51,668",21676679,"-60,525",2136720115
15,=,Doechii,Anxiety,,50,2,6,3006358,"-28,207",21241268,"-98,680",214497914
16,+1,Lady Gaga,Abracadabra,,80,2,1,2942085,"-41,990",20447534,"+2,631",296912376
17,+1,Alemán,Te Quería Ver,Neton Vega,78,13,,2925508,"+7,333",19993125,"+17,054",214840262
18,-2,Jimin,Who,,279,1,20,2906390,"-85,700",19919251,"+325,871",1501883950
19,=,NIKI,You'll Be in My Heart - Spotify Singles,,32,16,,2875886,"+10,355",19178357,"+130,109",67755307
