Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
106,-10,Kushagra,Finding Her,Bharath,15,89,,1452522,"-4,819",10036311,"-11,906",21270613
107,-8,Vance Joy,Riptide,,2255,16,,1448029,"+30,590",9992456,"-4,204",2166997474
108,-10,OneRepublic,Counting Stars,,2170,31,,1437316,"+14,172",9972823,"-51,135",1914632288
109,+3,Billie Eilish,CHIHIRO,,339,3,1,1424228,"+55,472",9518684,"-24,493",773180496
110,+1,SZA,Snooze,,796,25,,1420613,"+40,950",9167878,"+66,723",1421708148
111,-6,Tom Odell,Another Love,,1467,11,,1416547,"+20,081",9668822,"-116,986",2545080369
112,+6,Ed Sheeran,Perfect,,2743,3,1,1409981,"+77,480",9434773,"-65,733",3072842875
113,+14,Linkin Park,Numb,,404,12,,1408043,"+105,306",9559971,"-107,231",603940729
114,-10,The Chainsmokers,Something Just Like This,Coldplay,1780,2,14,1392609,"-4,521",9832826,"-137,810",2146182641
115,+10,Lady Gaga,Judas,,9,110,,1391072,"+86,989",9279625,"+11,766",11895510
116,+20,Keane,Somewhere Only We Know,,862,63,,1388340,"+106,725",9038354,"+17,756",1123779030
117,-17,Arctic Monkeys,No. 1 Party Anthem,,163,70,,1384790,"-29,404",9857185,"-99,180",256952517
118,-5,"Tyler, The Creator",Like Him,Lola Young,177,20,,1384637,"+24,830",9647257,"-64,479",392973617
119,+9,Leon Thomas,MUTT,,18,112,,1378669,"+77,421",9308138,"+54,868",23242045
120,+14,Bad Bunny,KLOuFRENS,,108,18,,1377048,"+90,399",8915058,"+33,133",219334046
121,+14,Rauw Alejandro,Khé?,Romeo Santos,159,21,,1368200,"+85,280",9223867,"-16,158",351353381
122,+27,Ed Sheeran,Photograph,,2027,13,,1367525,"+123,770",8669883,"+66,101",1465117928
123,-16,The Weeknd,Blinding Lights,,1968,1,82,1359481,"-32,093",9609530,"-28,910",4716244634
124,-27,Fleetwood Mac,Dreams - 2004 Remaster,,673,17,,1355777,"-93,093",9671407,"+34,283",743765476
125,-2,Pitbull,Give Me Everything,"Ne-Yo, AFROJACK, Nayer",252,58,,1355642,"+46,378",9286195,"-144,108",354640691
126,-6,Don Omar,Danza Kuduro,Lucenzo,483,79,,1352676,"+35,300",9562129,"-71,313",651549517
127,-5,The Weeknd,Die For You,,1207,9,,1349026,"+33,787",9152656,-187,2145613217
128,-7,JENNIE,ExtraL,Doechii,61,18,,1348758,"+31,944",9247911,"-123,820",121815678
129,-20,Jin,Running Wild,,159,6,,1346614,"-36,925",9555776,"-3,461",334358562
130,RE,Ed Sheeran,Azizam,,15,27,,1342823,,5363721,"-771,911",31530067
