Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,258,1,193,5758196,"+38,559",40008070,"-50,002",2340640860
2,=,Alex Warren,Ordinary,,83,2,14,5376744,"+18,391",36401643,"+92,237",300618319
3,=,Billie Eilish,BIRDS OF A FEATHER,,349,1,25,4898084,"+225,806",34357713,"-154,053",2432333053
4,=,ROSÉ,APT.,Bruno Mars,195,1,28,4134149,"+44,607",29301678,"-37,001",1518423979
5,=,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",64,5,,4090325,"+46,627",26419386,"+605,955",192211568
6,+2,Gracie Abrams,That’s So True,,195,3,7,3739505,"+222,984",26165522,"+30,982",966914815
7,-1,Kendrick Lamar,luther,,160,2,20,3660101,"+34,020",25751027,"-159,180",830401165
8,-1,JENNIE,like JENNIE,,55,5,,3562139,"+5,557",25586055,"-238,107",206563586
9,+1,Benson Boone,Beautiful Things,,468,1,35,3257044,"+68,194",22646927,"-62,745",2058780902
10,-1,Gigi Perez,Sailor Song,,256,5,,3212672,"-23,288",24416955,"-344,122",915663092
11,+1,Bad Bunny,DtMF,,116,1,16,3197834,"+58,581",22274928,"-7,560",693750273
12,+1,Lola Young,Messy,,149,8,,3179949,"+74,367",21763586,"+8,583",533564849
13,-2,sombr,back to friends,,44,11,,3134178,"-48,636",20424919,"+296,718",97479756
14,=,Billie Eilish,WILDFLOWER,,349,8,,3107208,"+53,494",21875770,"-82,371",1104813051
15,=,Alemán,Te Quería Ver,Neton Vega,85,13,,3032276,"+67,727",21064403,"+106,768",235904665
16,+3,Sabrina Carpenter,Espresso,,384,1,32,2980422,"+140,450",20887239,"-71,324",2157607354
17,=,Doechii,Anxiety,,57,2,6,2956544,"+79,180",20540012,"-49,814",235037926
18,=,Lady Gaga,Abracadabra,,87,2,1,2912139,"+40,069",19944294,"-29,946",316856670
19,+4,WizTheMc,Show Me Love,bees & honey,57,19,,2850279,"+127,026",18900619,"+291,723",128990788
